RX Date/Time,Time(field 1),x(field 2),y(field 3),z(field 4),x(field 5),y(field 6),z(field 7),Bx(field 8),By(field 9),Bz(field 10)
2023/11/04/ 16:41:02::149,5722,917,10,-1150,-183,66,-1280,-475,591,-1195,
2023/11/04/ 16:41:02::150,5733,907,17,-1123,-207,38,-1282,-507,586,-1200,
2023/11/04/ 16:41:02::242,5744,917,10,-1113,-223,86,-1261,-507,586,-1200,
2023/11/04/ 16:41:02::242,5755,910,5,-1140,-200,51,-1267,-510,586,-1168,
2023/11/04/ 16:41:02::242,5766,905,17,-1152,-193,31,-1270,-548,606,-1183,
2023/11/04/ 16:41:02::242,5777,895,-5,-1132,-183,8,-1270,-553,591,-1173,
2023/11/04/ 16:41:02::244,5788,917,22,-1108,-197,41,-1282,-522,581,-1192,
2023/11/04/ 16:41:02::244,5799,917,22,-1108,-188,41,-1298,-510,591,-1205,
2023/11/04/ 16:41:02::244,5810,915,-7,-1132,-171,48,-1243,-551,608,-1171,
2023/11/04/ 16:41:02::244,5821,945,17,-1135,-191,63,-1275,-520,623,-1176,
2023/11/04/ 16:41:02::301,5832,905,25,-1126,-168,26,-1272,-485,601,-1181,
2023/11/04/ 16:41:02::301,5843,925,25,-1157,-217,16,-1275,-510,618,-1186,
2023/11/04/ 16:41:02::301,5854,920,7,-1160,-186,28,-1246,-530,578,-1190,
2023/11/04/ 16:41:02::302,5865,875,-5,-1166,-193,26,-1296,-512,588,-1178,
2023/11/04/ 16:41:02::302,5876,885,25,-1128,-210,28,-1265,-500,583,-1160,
2023/11/04/ 16:41:02::302,5887,872,0,-1152,-188,26,-1277,-487,568,-1183,
2023/11/04/ 16:41:02::323,5898,845,-27,-1147,-223,38,-1267,-525,573,-1207,
2023/11/04/ 16:41:02::324,5909,897,17,-1126,-193,46,-1272,-487,573,-1216,
2023/11/04/ 16:41:02::372,5920,890,-5,-1166,-181,58,-1293,-515,556,-1211,
2023/11/04/ 16:41:02::372,5931,887,-7,-1160,-181,58,-1261,-537,561,-1242,
2023/11/04/ 16:41:02::372,5942,887,-20,-1155,-217,68,-1291,-530,591,-1205,
2023/11/04/ 16:41:02::372,5953,915,15,-1145,-215,43,-1280,-507,578,-1200,
2023/11/04/ 16:41:02::391,5964,922,20,-1157,-191,53,-1275,-522,593,-1211,
2023/11/04/ 16:41:02::392,5975,872,-5,-1142,-186,31,-1248,-522,591,-1192,
2023/11/04/ 16:41:02::412,5986,912,32,-1135,-200,41,-1277,-500,571,-1176,
2023/11/04/ 16:41:02::413,5997,892,37,-1137,-223,48,-1240,-477,581,-1197,
2023/11/04/ 16:41:02::441,6008,875,-35,-1166,-210,58,-1256,-480,588,-1136,
2023/11/04/ 16:41:02::442,6019,887,-17,-1147,-202,46,-1213,-485,598,-1171,
2023/11/04/ 16:41:02::445,6030,902,-35,-1128,-217,71,-1232,-477,618,-1157,
